SS,FSR,FQE,FRU,PU,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR,insti_id,rank,domain,OE+MIR
18.5,30.0,17.2,30.0,34.22,14.0,10.0,31.07,15.0,19.54,16.68,20.74,14.85,7.66,20.0,100.0,IR-E-U-0456,1,Engineering,
16.45,25.04,16.68,27.72,35.0,13.0,9.01,30.94,11.93,20.91,17.89,20.04,14.71,725.0,20.0,93.97,IR-E-I-1074,2,Engineering,
18.5,26.28,16.97,26.22,30.64,14.0,9.93,32.5,13.88,20.67,20.0,18.72,15.04,5.37,20.0,85.04,IR-E-U-0306,3,Engineering,
18.18,28.02,19.03,26.55,27.87,12.0,885.0,36.16,15.0,21.62,15.3,18.47,13.5,721.0,20.0,78.49,IR-E-I-1075,4,Engineering,
18.23,26.62,17.52,22.88,3117.0,7.0,618.0,25.27,13.42,21.34,19.79,21.72,14.72,7.8,20.0,7457.0,IR-E-U-0573,5,Engineering,
17.75,22.13,14.71,21.46,30.12,8.0,636.0,38.07,15.0,19.98,12.78,23.7,12.84,737.0,20.0,60.98,IR-E-U-0560,6,Engineering,
12.49,30.0,19.83,25.71,25.32,5.0,7.68,34.25,15.0,21.27,8.69,17.5,12.3,459.0,20.0,61.98,IR-E-U-0013,7,Engineering,
17.86,23.91,13.51,18.32,28.62,9.0,7.05,33.43,14.25,21.5,15.5,23.69,11.63,6.08,20.0,52.06,IR-E-U-0053,8,Engineering,
17.5,21.87,1415.0,19.73,24.63,6.5,2.34,35.15,15.0,17.86,10.69,16.27,20.28,821.0,20.0,66.54,IR-E-U-0467,9,Engineering,
17.62,18.42,12.79,17.56,23.62,8.0,3.74,36.72,14.74,20.81,13.76,18.81,11.26,10.44,20.0,55.64,IR-E-U-0701,10,Engineering,
19.0,2749.0,17.19,18.4,23.74,5.0,1.63,38.24,15.0,20.22,758.0,21.04,19.24,0.13,20.0,32.29,IR-E-U-0391,11,Engineering,
12.55,30.0,18.52,20.19,24.77,450.0,5.93,31.65,14.79,20.85,9.23,20.94,15.99,685.0,20.0,2745.0,IR-E-U-0273,12,Engineering,
17.5,29.09,19.21,17.74,25.69,450.0,3.74,32.95,15.0,16.93,12.01,14.91,17.69,913.0,20.0,22.37,IR-E-U-0357,13,Engineering,
17.82,30.0,17.39,13.48,26.13,11.0,0.5,29.53,13.46,10.78,11.65,21.05,24.94,1.1,20.0,1745.0,IR-E-U-0473,14,Engineering,
15.87,23.22,15.55,18.2,26.02,5.0,3.52,3152.0,13.09,17.84,14.57,20.91,12.54,791.0,20.0,32.29,IR-E-U-0205,15,Engineering,
20.0,22.26,1431.0,10.2,24.62,9.0,0.42,29.58,15.0,13.93,13.72,18.25,22.64,0.12,20.0,43.97,IR-E-U-0490,16,Engineering,
17.5,20.2,13.44,24.24,21.87,5.0,414.0,34.53,15.0,17.8,10.78,16.23,16.71,955.0,20.0,45.7,IR-E-U-0237,17,Engineering,
18.25,29.14,18.19,13.97,25.78,450.0,3.68,30.76,13.61,15.19,11.91,427.0,18.64,5.69,20.0,37.0,IR-E-U-0575,18,Engineering,
12.48,28.35,18.22,20.2,22.28,425.0,725.0,33.29,13.98,21.2,9.93,19.24,15.14,957.0,20.0,21.73,IR-E-U-0064,19,Engineering,
17.86,24.65,14.13,12.8,22.92,11.0,321.0,25.5,12.51,12.61,12.66,0.57,25.09,5.46,20.0,60.73,IR-E-U-0439,20,Engineering,
16.0,29.16,19.59,18.89,17.25,5.0,1.69,38.15,15.0,16.3,9.66,14.0,22.32,10.34,20.0,34.71,IR-E-U-0263,21,Engineering,
19.0,29.56,19.73,17.06,16.72,7.0,157.0,3431.0,15.0,10.56,10.61,21.86,30.0,140.0,20.0,24.03,IR-E-U-0363,22,Engineering,
18.0,29.38,17.63,15.73,22.13,450.0,3.18,36.0,15.0,11.81,491.0,18.13,22.69,3.37,20.0,27.53,IR-E-U-0436,23,Engineering,
10.5,26.57,13.75,16.67,27.3,125.0,4.93,39.74,15.0,15.64,7.9,23.1,15.07,9.02,20.0,20.43,IR-E-U-0108,24,Engineering,
11.5,29.57,19.18,25.57,16.54,0.75,8.61,34.77,15.0,18.27,658.0,21.78,17.93,4.1,20.0,29.36,IR-E-U-0139,25,Engineering,
12.45,28.57,19.36,2151.0,18.38,2.5,3.74,35.94,14.22,21.2,6.94,23.66,19.44,5.67,20.0,21.95,IR-E-U-0184,26,Engineering,
12.5,30.0,18.99,25.44,17.94,125.0,641.0,34.34,14.92,18.04,34.0,19.56,20.63,621.0,20.0,12.93,IR-E-U-0395,27,Engineering,
19.0,30.0,12.01,12.0,21.17,2.25,114.0,37.76,15.0,1749.0,8.92,13.79,19.26,177.0,20.0,36.25,IR-E-U-0098,30,Engineering,
17.88,28.58,16.03,10.77,21.31,11.0,0.82,22.6,15.0,13.17,8.4,22.4,29.95,198.0,20.0,18.39,IR-E-U-0747,31,Engineering,
11.7,24.53,15.5,20.73,20.79,1.0,6.1,3174.0,15.0,20.05,8.4,20.36,12.44,761.0,20.0,25.23,IR-E-U-0378,32,Engineering,
16.49,30.0,18.76,12.78,16.03,8.0,0.85,36.69,15.0,11.39,9.08,19.5,30.0,7.68,20.0,727.0,IR-E-U-0458,33,Engineering,
11.0,30.0,18.26,17.6,2631.0,2.0,2.46,34.23,13.16,11.06,5.72,5.45,12.14,3.59,20.0,23.0,IR-E-U-0496,34,Engineering,
18.65,30.0,18.24,10.66,20.38,6.0,0.74,30.8,15.0,13.06,11.07,15.53,29.91,140.0,20.0,4.12,IR-E-U-0020,35,Engineering,
20.0,26.24,16.79,15.61,16.92,9.0,2.75,21.49,15.0,11.77,12.05,25.22,30.0,2.06,20.0,10.76,IR-E-U-0356,36,Engineering,
13.6,24.67,15.49,12.92,28.14,11.0,0.87,29.52,15.0,10.78,6.73,14.84,23.95,0.23,20.0,6.04,IR-E-U-0497,37,Engineering,
9.08,28.8,18.76,19.2,19.02,1.5,652.0,30.54,12.38,25.0,2.81,19.58,21.08,2.66,20.0,22.58,IR-E-U-0014,38,Engineering,
11.05,26.69,18.34,18.49,16.02,2.25,421.0,34.65,15.0,18.42,6.99,21.64,15.7,534.0,20.0,28.27,IR-E-U-0355,39,Engineering,
17.5,30.0,18.91,14.07,11.85,3.0,3.37,35.14,15.0,12.91,10.65,18.86,28.86,5.08,20.0,10.76,IR-E-U-0476,40,Engineering,
11.5,28.08,18.48,18.3,17.85,7.0,642.0,29.43,15.0,13.64,688.0,5.96,24.32,3.06,20.0,16.24,IR-E-U-0308,41,Engineering,
15.39,23.74,15.26,14.9,23.16,2.25,3.85,31.5,14.98,15.45,8.3,12.92,19.95,727.0,20.0,10.48,IR-E-U-0410,42,Engineering,
15.5,24.22,14.62,16.99,22.23,7.0,0.54,27.61,15.0,11.25,0.39,20.53,22.0,0.12,20.0,18.16,IR-E-U-0564,43,Engineering,
13.31,24.99,16.52,16.73,17.27,6.5,3.66,33.54,15.0,15.55,784.0,11.64,19.02,5.38,20.0,18.16,IR-E-U-0334,44,Engineering,
16.02,30.0,19.99,9.76,26.76,5.0,0.79,14.87,13.58,9.04,3.09,18.89,28.22,412.0,20.0,1.07,IR-E-I-1441,45,Engineering,
10.8,28.57,16.81,13.5,24.95,4.0,0.62,32.25,15.0,12.62,5.51,11.3,22.87,51.0,20.0,12.13,IR-E-U-0329,46,Engineering,
12.5,28.43,15.86,14.5,20.36,2.5,141.0,35.64,15.0,13.39,5.98,4.03,25.71,8.04,20.0,17.21,IR-E-C-16604,47,Engineering,
18.0,24.34,13.63,7.08,16.78,13.0,0.21,30.09,15.0,12.54,491.0,2451.0,19.94,243.0,20.0,20.21,IR-E-U-0379,48,Engineering,
14.07,24.73,16.78,15.67,17.64,125.0,2.74,38.31,15.0,15.83,8.78,14.32,14.84,9.22,20.0,16.97,IR-E-U-0577,49,Engineering,
14.42,22.03,15.09,15.06,24.39,2.25,,30.81,15.0,16.53,782.0,12.76,15.85,,20.0,9.92,IR-E-U-0055,50,Engineering,
