insti_ID,nirf_year,domain,fin_year,library,equipment,workshops,studios,capital_assets,salaries,maintenance,seminars,research_amount,consultancy_amount,sponsored_projects,funding_agencies
IR-O-U-0456,2025,Overall,2023-24,298830979.0,4977872845.0,15221031.0,15922736.0,854156496.0,,,,9694717158.0,357447061.0,801.0,128.0
IR-O-U-0456,2025,Overall,2022-23,191765768.0,5114315121.0,35946386.0,7825561.0,850240751.0,,,,5922234509.0,195081858.0,699.0,112.0
IR-O-U-0456,2025,Overall,2021-22,232093405.0,4475051053.0,16830244.0,53944831.0,1066955804.0,,,,5049150727.0,115588093.0,576.0,112.0
IR-O-U-0220,2025,Overall,2023-24,218534218.0,1683221699.0,85203873.0,,,5010997865.0,2940760709.0,79780324.0,11118521445.0,193254711.0,1412.0,276.0
IR-O-U-0220,2025,Overall,2022-23,202533939.0,1299078359.0,93480412.0,,,5136049939.0,1828614204.0,39993362.0,5347726925.0,188204222.0,1343.0,153.0
IR-O-U-0220,2025,Overall,2021-22,338527338.0,1453587730.0,32057107.0,,,4102153668.0,1250256552.0,3626240.0,5437309580.0,119485767.0,1178.0,106.0
IR-O-U-0306,2025,Overall,2023-24,177105628.0,2817100804.0,0.0,0.0,,8523975101.0,4688514494.0,247557830.0,5979393642.0,185367156.0,1583.0,530.0
IR-O-U-0306,2025,Overall,2022-23,60655438.0,3091659479.0,82044432.0,0.0,,6581612412.0,3380913236.0,22683371.0,4762663592.0,194638053.0,1378.0,445.0
IR-O-U-0306,2025,Overall,2021-22,395211540.0,859086724.0,99980000.0,0.0,,6070571682.0,2978397843.0,9177625.0,4352399044.0,199299376.0,1334.0,368.0
IR-O-I-1074,2025,Overall,2023-24,187600000.0,2642131575.0,5271461.0,3490210.0,131400000.0,,,,3706503517.0,561090027.0,1011.0,414.0
IR-O-I-1074,2025,Overall,2022-23,187521973.0,2615655221.0,2429151.0,2124700.0,2857555221.0,,,,3334108500.0,352197517.0,595.0,247.0
IR-O-I-1074,2025,Overall,2021-22,191213021.0,2374297516.0,44456874.0,43928631.0,1476113707.0,,,,3798462730.0,319358716.0,728.0,225.0
IR-O-I-1075,2025,Overall,2023-24,203000000.0,1103442000.0,55900000.0,10267000.0,157700000.0,4081234700.0,5341217000.0,55900000.0,2269718000.0,408841000.0,,
IR-O-I-1075,2025,Overall,2022-23,202200000.0,1096200000.0,52180000.0,6113000.0,150260000.0,3543190000.0,4670560000.0,52180000.0,2151803000.0,51236700.0,,
IR-O-I-1075,2025,Overall,2021-22,184609000.0,640307900.0,47800000.0,5674000.0,137621500.0,3183924000.0,3967440000.0,47800000.0,2302487100.0,41106000.0,,
IR-O-U-0573,2025,Overall,2023-24,247696823.0,1613101450.0,163201110.0,23090103.0,316335763.0,6099113711.0,4562045544.0,163201110.0,1621000000.0,68200000.0,892.0,
